gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_04359-1	0.464399777170116	1.7969637437655	3788	228	3560	FALSE
RvY_07245-1	0.112687721647926	1.79584911493209	11578	229	11349	TRUE
RvY_12123-1	0.322114420646636	1.79570334107175	6240	230	6010	FALSE
RvY_17195-1	0.474040467706285	1.79244993014166	3649	231	3418	FALSE
RvY_08257-1	0.891573772185947	1.79132225522673	736	232	504	FALSE
RvY_03683-1	0.823645341982028	1.79122586736	984	233	751	FALSE
RvY_04404-1	0.983878095676158	1.79103408002455	493	234	259	FALSE
RvY_08858	0.0403079191326068	1.78903000329867	13893	235	13658	TRUE
RvY_03752-1	0.863975230728505	1.7881627823894	808	236	572	FALSE
RvY_06015-1	0.0232564650862672	1.78703272929219	14470	237	14233	TRUE
RvY_19076-1	1.02140884883563	1.78536779068302	428	238	190	FALSE
RvY_13723-1	0.497040371126816	1.78448974305558	3345	239	3106	FALSE
RvY_01707-1	0.431926929753281	1.78173608661999	4272	240	4032	FALSE
RvY_09643-1	0.0335116018162331	1.78045617019119	14129	241	13888	TRUE
RvY_14512-1	0.735615928825395	1.77713155154151	1379	242	1137	FALSE
RvY_10979	0.160629893791051	1.77703110692503	10196	243	9953	FALSE
RvY_13597-1	0.513317297302037	1.77679801323529	3150	244	2906	FALSE
RvY_08882-1	0.354016684169094	1.77585983238336	5577	245	5332	FALSE
RvY_08614-1	0.450844479986571	1.77373540536884	3983	246	3737	FALSE
RvY_02604-1	1.32526059269768	1.77070812415395	124	247	-123	FALSE
RvY_12932	0.030073772503151	1.77029632521493	14248	248	14000	TRUE
RvY_11867-1	1.53943909894372	1.76826452033347	43	249	-206	FALSE
RvY_12978-1	0.285490847979736	1.76735131074513	7058	250	6808	FALSE
RvY_15259	0.442387861264145	1.7672719368225	4108	251	3857	FALSE
RvY_01336	0.0226309438319792	1.76625116441446	14498	252	14246	TRUE
RvY_01368-1	0.0319535719347019	1.76615781031159	14177	253	13924	TRUE
RvY_15739-1	0.212344884616462	1.7647662513346	8790	254	8536	FALSE
RvY_13965-1	0.705243350898022	1.76431518107088	1521	255	1266	FALSE
RvY_16913	0.2482086470116	1.76403458986832	7911	256	7655	FALSE
RvY_12169-1	0.506139759412035	1.76338322190326	3239	257	2982	FALSE
RvY_13722	0.47972164967398	1.76132188983991	3581	258	3323	FALSE
RvY_13988-1	0.697667169283574	1.75952662787384	1565	259	1306	FALSE
RvY_06981	0.0785879924944295	1.75811774867675	12639	260	12379	TRUE
RvY_15774-1	0.470040998946073	1.75744334653021	3703	261	3442	FALSE
RvY_14426-1	0.2336514947096	1.75489342267005	8260	262	7998	FALSE
RvY_00646-1	0.820458348684484	1.75313421544568	998	263	735	FALSE
RvY_11080-1	0.815382742861811	1.75199667529049	1019	264	755	FALSE
RvY_02125-1	0.156549510392456	1.75158576451023	10288	265	10023	FALSE
RvY_10940-1	0.598877871865887	1.7447303057581	2294	266	2028	FALSE
RvY_08077	0.270730519848966	1.7428538513978	7401	267	7134	FALSE
RvY_01001-1	0.381423389339828	1.74085058829186	5082	268	4814	FALSE
RvY_02483	0.599176081909522	1.74026334219765	2291	269	2022	FALSE
RvY_04620	0.711064239001869	1.73537987342049	1491	270	1221	FALSE
RvY_03835-1	1.45156496207995	1.73492836462678	61	271	-210	FALSE
RvY_08219-1	0.585075781430233	1.73406885846086	2421	272	2149	FALSE
RvY_13469-1	0.948718700277851	1.7335234863017	573	273	300	FALSE
RvY_05175-1	0.92439039300486	1.73241148424298	629	274	355	FALSE
RvY_02205-1	0.404575731360457	1.73083450761348	4700	275	4425	FALSE
RvY_15200-1	0.0430512316440721	1.72971833447759	13799	276	13523	TRUE
RvY_01098-1	0.217092538826583	1.72919813859801	8674	277	8397	FALSE
RvY_11977-1	0.38443089571186	1.72892730095845	5019	278	4741	FALSE
RvY_05682-1	0.486579870975062	1.72804358326063	3501	279	3222	FALSE
RvY_19055	0.432306384266966	1.72724524862878	4266	280	3986	FALSE
RvY_14411-1	0.253872071456307	1.72664171075984	7793	281	7512	FALSE
RvY_06874-1	0.70119519083742	1.72536412601407	1545	282	1263	FALSE
RvY_00323-1	0.548111081608472	1.72499170112131	2766	283	2483	FALSE
RvY_05091-1	0.463080620794377	1.72475149094049	3803	284	3519	FALSE
RvY_16318-1	0.46987980268441	1.72226350117005	3705	285	3420	FALSE
RvY_14292	0.139685708615939	1.72029867214985	10776	286	10490	FALSE
RvY_14354-1	0.190744012458302	1.71818542485476	9355	287	9068	FALSE
RvY_18868	0.364264680961717	1.7159156491862	5396	288	5108	FALSE
RvY_17987	0.538286865773527	1.71447856372994	2879	289	2590	FALSE
RvY_10998	0.0491373109210898	1.71351913067276	13617	290	13327	TRUE
cox3	0.591785022961533	1.71198101430823	2360	291	2069	FALSE
RvY_04628-1	0.373680881087632	1.70974558778618	5210	292	4918	FALSE
RvY_11715-1	0.0736197182132781	1.70930285535028	12815	293	12522	TRUE
RvY_08386-1	0.302619965125578	1.70885700582504	6661	294	6367	FALSE
RvY_00496-1	0.78475161415019	1.70720228751439	1146	295	851	FALSE
RvY_12867-1	0.33153830330237	1.7067195260321	6052	296	5756	FALSE
RvY_01716-1	1.528656846981	1.7065897099934	45	297	-252	FALSE
RvY_06245-1	0.646972035937425	1.70617117729407	1905	298	1607	FALSE
RvY_10609-1	0.138523588702071	1.70528634855039	10811	299	10512	FALSE
RvY_06317	0.151447035731148	1.70496574300811	10454	300	10154	FALSE
RvY_19152-1	0.406214667239592	1.70310400703489	4669	301	4368	FALSE
RvY_06613-1	0.84191240218365	1.70288651183154	898	302	596	FALSE
RvY_09262-1	0.152939252483601	1.70002577128192	10398	303	10095	FALSE
RvY_17510-1	0.950106557982177	1.69902519059584	568	304	264	FALSE
RvY_07533-1	0.124092817198721	1.69839651351189	11260	305	10955	FALSE
RvY_16169-1	0.101645926849778	1.69784421625188	11916	306	11610	TRUE
