gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_06119-1	8	0.0672007315383387	0.4207550098505	0.25	0.525943762313125	0.0184815780386677
RvY_06120-1	8	0.180649118825219	0.85232039046657	0.25	1.06540048808321	0.0853478808761835
RvY_06121-1	8	0.430103106492713	0.516805695409369	0	0.516805695409369	0.0323234770362276
RvY_06122-1	8	1.06012381029962	1.25357398494288	0	1.25357398494288	0.192500086102974
RvY_06123-1	8	-0.544452957229595	1.05635223017206	0.25	1.32044028771508	0.174626209665648
RvY_06124-1	8	0.539971356355543	0.655178830678547	0	0.655178830678547	0.0497010596208071
RvY_06126-1	8	0.746585870505276	1.11521375570191	0.125	1.25461547516465	0.154116566423422
RvY_06128	8	-0.329287914996081	0.778406092958842	0.125	0.875706854578697	0.0654005975072712
RvY_06129-1	8	-0.364461091885324	0.730674660528263	0.125	0.822008993094296	0.0502396508692279
RvY_06130-1	8	0.118018147527537	0.5804570710719	0.25	0.725571338839875	0.0466554407145608
RvY_06131-1	8	0.262532101756198	0.799321885397214	0.25	0.999152356746518	0.0937220529110468
RvY_06132-1	8	-0.547169880134538	0.60609641539417	0	0.60609641539417	0.0459297369216125
RvY_06133-1	8	-0.687646792696756	0.866075044889169	0	0.866075044889169	0.0956578851336087
RvY_06134-1	8	-0.0112087289258184	0.183463095877293	0.25	0.229328869846617	0.00299169816561232
RvY_06135	8	0.558450239499044	0.369180453022014	0	0.369180453022014	0.0208826190123694
RvY_06137-1	8	0.707123640192533	1.86900519761747	0.25	2.33625649702184	0.417776719526497
RvY_06138-1	5	0.264671690485711	0.187995028805239	0	0.187995028805239	0.0066799569606882
RvY_06141-1	8	-1.30754601205601	1.66900951900205	0	1.66900951900205	0.338138479932192
RvY_06142-1	8	-0.278606602825408	2.30761087052717	0.625	3.74986766460665	0.732700546340536
RvY_06143	8	0.191648280216219	0.483303741342644	0.125	0.543716709010474	0.0212866827362728
RvY_06144-1	8	0.153538708251939	1.19111716903469	0.375	1.63778610742269	0.171933259460543
RvY_06148	8	-0.00470618767230787	0.50861898567727	0.5	0.762928478515905	0.0318107927155308
RvY_06149	8	-0.611493423279561	1.07776598716304	0	1.07776598716304	0.115469589939984
RvY_06150	8	-0.738910763632881	1.38978140343277	0.125	1.56350407886186	0.248079237990498
RvY_06151-1	8	0.247516742071373	3.56314189822065	0.375	4.8993201100534	1.26615411549469
RvY_06152-1	8	0.330153681023379	0.851573162338506	0.125	0.95801980763082	0.0716283321265903
RvY_06153	8	0.290380876080545	0.802924575089049	0.125	0.90329014697518	0.0757019646221407
RvY_06154	8	0.759729611615143	0.851526294417373	0	0.851526294417373	0.0717475842204208
RvY_06155-1	8	0.365551068806697	1.43744406410244	0.375	1.97648558814086	0.258097493941351
RvY_06156-1	8	-0.0594212406812469	0.400621892492855	0.375	0.550855102177676	0.0204600587624288
RvY_06157-1	8	0.726675883041103	1.05286074706065	0	1.05286074706065	0.141745104737478
RvY_06158	8	0.201777147379457	0.688399429506253	0.375	0.946549215571097	0.0633271805148023
RvY_06163-1	8	-0.177884894615279	0.448221688865105	0.25	0.560277111081382	0.0342204694956439
RvY_06164-1	8	0.136789625701056	0.322491694086084	0.125	0.362803155846845	0.0129327774930736
RvY_06165	8	1.06197384322815	0.724896205938115	0	0.724896205938115	0.0707743943016795
RvY_06170-1	8	-0.220830109785627	0.774298969922993	0.125	0.871086341163368	0.0597657519591768
RvY_06171-1	8	-0.447211005272929	0.589422630178951	0	0.589422630178951	0.0335106814391455
RvY_06172-1	8	0.070883440248239	0.468670924885265	0.25	0.585838656106581	0.0252569294342469
RvY_06173-1	8	0.489898129673431	0.552470874282412	0	0.552470874282412	0.0257530493086406
RvY_06175-1	8	-0.0261295815471867	1.02532004422089	0.5	1.53798006633134	0.0893632884693889
RvY_06176-1	8	-0.172241916556046	0.92613747988543	0.375	1.27343903484247	0.107833703167134
RvY_06177-1	8	-0.155651273470406	0.513792202492951	0.125	0.57801622780457	0.0290156858651178
RvY_06178-1	8	-0.369663262334257	0.645505095010804	0	0.645505095010804	0.0567013162188603
RvY_06179-1	8	-1.80451700031437	1.4626293540528	0	1.4626293540528	0.314889354805837
RvY_06180-1	8	0.776001177098988	1.03488403788324	0	1.03488403788324	0.104738581070204
RvY_06181	8	0.408529102765744	1.01930427495793	0.125	1.14671730932767	0.10698396981926
RvY_06183-1	8	-0.0924012816562701	0.245671213629275	0.125	0.276380115332935	0.00739592051947069
RvY_06190	8	0.121236815284187	0.676050299830727	0.375	0.92956916226725	0.0499013813545698
RvY_06191-1	8	0.230240580059265	0.301737298204572	0	0.301737298204572	0.0103081466188497
RvY_06192-1	8	0.391593255189668	0.485719470805284	0	0.485719470805284	0.0292190955947766
RvY_06193-1	8	0.975873916997766	1.0025975231201	0	1.0025975231201	0.122785208624993
RvY_06194-1	8	0.12786313549368	0.726643411890213	0.125	0.81747383837649	0.0460386770674322
RvY_06195-1	8	0.519555297083755	0.775392821221859	0	0.775392821221859	0.0676435033071734
RvY_06197-1	8	-0.0737915912446439	0.562084081136453	0.5	0.84312612170468	0.0485237967495934
RvY_06198-1	8	-0.216377865814735	0.647203604704471	0.25	0.809004505880589	0.0591274166520492
RvY_06199	8	-0.768619170399583	1.32694187466758	0.125	1.49280960900102	0.194161285673598
RvY_06200-1	8	0.407254645441367	0.66253878081329	0.125	0.745356128414951	0.0483748931889387
RvY_06201-1	8	0.778294574988597	1.72941392338929	0.125	1.94559066381295	0.290000462173651
RvY_06202	8	0.556219065068713	2.8505397237573	0.125	3.20685718922696	0.681774328888326
RvY_06203-1	8	0.537941454006546	0.49584543863456	0	0.49584543863456	0.0350146788340519
RvY_06204-1	8	0.320363553973972	0.447827712369248	0	0.447827712369248	0.0309741212640608
RvY_06205-1	8	-0.144573018091123	0.549159857798196	0.25	0.686449822247745	0.0394799322625926
RvY_06206-1	8	0.139365028392884	0.367716146000578	0.125	0.41368066425065	0.0158276524298239
RvY_06207	8	-0.311258778896834	1.19297654335657	0.125	1.34209861127614	0.163605188273522
RvY_06208-1	8	0.0661583743027664	0.44765026768845	0.25	0.559562834610562	0.0277589557948981
RvY_06209	8	0.268316628031262	1.53146284529791	0.375	2.10576141228462	0.286718162789333
RvY_06210-1	8	-0.721323875917078	0.626750387887618	0	0.626750387887618	0.0663844552349594
RvY_06211	8	0.897110355391201	0.996673986548869	0	0.996673986548869	0.0974332269351644
RvY_06212-1	8	-0.142208126775169	0.575147024918392	0.25	0.71893378114799	0.0365344107865962
RvY_06213-1	8	0.0327984081549322	0.488636941730809	0.5	0.732955412596214	0.0274841147042563
RvY_06214-1	8	-0.27699494000024	1.06920446744899	0.25	1.33650558431123	0.113392536693372
RvY_06215-1	8	-0.637418147585889	0.647312032309365	0	0.647312032309365	0.036976360806604
RvY_06216-1	8	-1.49688941555069	0.655606346096903	0	0.655606346096903	0.0504226205310601
RvY_06217-1	8	-0.808648183438063	1.08318360469362	0	1.08318360469362	0.172885620676023
RvY_06218-1	8	-0.720476771001704	0.534913250747122	0	0.534913250747122	0.0409691881388443
RvY_06219	8	-1.37246077912994	1.46876347860475	0	1.46876347860475	0.263580774057838
