gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_13698-1	NA	GAV03246.1	hypothetical protein	exact_gene	-0.0818784232642509	1.47704645070268
RvY_13711-1	NA	GAV03263.1	hypothetical protein	exact_gene	-0.0541012694553151	1.18325137333572
RvY_13788	NA	GAV03348.1	hypothetical protein	exact_gene	0.102922264869773	1.19640476485604
RvY_13813-1	NA	GAV03384.1	hypothetical protein	exact_gene	-0.0655067411321193	1.38719195017276
RvY_13839-1	NA	GAV03412.1	hypothetical protein	exact_gene	0.0815258101081691	2.05590193955243
RvY_13953-1	NA	GAV03550.1	hypothetical protein	exact_gene	-0.0553259407446047	1.29927759807524
RvY_13964-1	NA	GAV03565.1	hypothetical protein	exact_gene	0.118347335323838	1.45461606712343
RvY_13993-1	NA	GAV03597.1	hypothetical protein	exact_gene	0.0034893338239943	1.29219595882467
RvY_14091-1	NA	GAV03702.1	hypothetical protein	exact_gene	-0.0532191120437773	1.14696969311378
RvY_14100-1	NA	GAV03711.1	hypothetical protein	exact_gene	-0.00729613190143397	1.68364983133066
RvY_14133	NA	GAV03750.1	hypothetical protein	exact_gene	-0.0286955170327365	2.59927719648901
RvY_14138-1	NA	GAV03758.1	hypothetical protein	exact_gene	-0.0773036875947639	1.41797412335478
RvY_14207-1	NA	GAV03832.1	hypothetical protein	exact_gene	-0.0771606692705396	2.0661789366449
RvY_14289-1	NA	GAV03925.1	hypothetical protein	exact_gene	0.106698524318599	1.15816311535858
RvY_14374	NA	GAV04029.1	hypothetical protein	exact_gene	-0.108154047308213	1.36466507178046
RvY_14438-1	NA	GAV04110.1	hypothetical protein	exact_gene	-0.00962231777113409	1.39748609121484
RvY_14439-1	NA	GAV04111.1	hypothetical protein	exact_gene	0.0928858593862962	1.55485391082523
RvY_14446-1	NA	GAV04119.1	hypothetical protein	exact_gene	0.0817529059395641	1.39408860160505
RvY_14481-1	NA	GAV04165.1	hypothetical protein	exact_gene	-0.0644817489399312	1.38274860662015
RvY_14646-1	NA	GAV04358.1	hypothetical protein	exact_gene	0.0970155353280653	1.47681651272191
RvY_14719-1	NA	GAV04445.1	hypothetical protein	exact_gene	0.0528340978953406	1.2720148501831
RvY_14730-1	NA	GAV04458.1	hypothetical protein	exact_gene	-0.0560235148508808	2.63613368160566
RvY_14832-1	NA	GAV04565.1	hypothetical protein	exact_gene	-0.0957181017613635	1.95817889884557
RvY_15004-1	NA	GAV04778.1	hypothetical protein	exact_gene	0.0988861024580903	1.20846426297505
RvY_15104	NA	GAV04899.1	hypothetical protein	exact_gene	0.0484284147426441	1.61963730688508
RvY_15120	NA	GAV04919.1	hypothetical protein	exact_gene	-0.0412887375692561	1.33225007762593
RvY_15133-1	NA	GAV04933.1	hypothetical protein	exact_gene	0.0216072886887275	1.68118556026306
RvY_15200-1	NA	GAV05009.1	hypothetical protein	exact_gene	-0.0430512316440721	1.72971833447759
